Time (s),Depth (cm)
40.3401,3.13
40.4228,2.88
40.4766,1.54
40.5336,0.86
40.587,0.3
40.6433,0.13
40.8051,0.73
40.8623,1.72
40.9158,3.53
40.9712,3.66
41.0245,3.44
41.081,1.58
41.1351,0.85
41.1961,0.21
41.2497,0.16
41.3911,0.93
41.4526,2.35
41.5086,3.84
41.5858,3.75
41.6395,1.73
41.6942,0.86
41.7477,0.33
41.8021,0.15
41.9125,0.28
41.966,1.02
42.0222,2.66
42.077,3.77
42.1382,3.54
42.2094,1.49
42.2661,0.77
42.3195,0.12
42.4987,0.63
42.5522,1.76
42.6139,3.99
42.6675,4.18
42.73,3.77
42.7839,1.5
42.8463,0.75
42.8996,0.11
43.0984,0.8
43.152,1.94
43.2079,4.53
43.2618,4.62
43.3163,2.93
43.3699,1.33
43.425,0.8
43.4791,0.08
43.5364,0.04
43.6474,0.75
43.7016,2.26
43.7584,5.16
43.812,5.31
43.8696,2.68
43.9231,0.91
44.0145,0.85
44.1297,0.76
44.1833,0.66
44.2448,1.34
44.2982,3.33
44.3611,3.6
44.4146,2.98
44.4762,1.38
44.53,0.76
44.5914,0.03
44.7608,0.57
44.8214,2.14
44.8923,4.39
45.0008,2.67
45.0573,1.13
45.1107,0.68
45.1653,0.09
45.2758,0.25
45.3295,1.01
45.3854,2.91
45.4389,4.01
45.4935,3.55
45.5481,1.67
45.6027,0.91
45.6567,0.59
45.714,0.11
45.8388,0.36
45.893,1.21
45.9554,3.37
46.0088,3.76
46.0708,2.93
46.1243,1.19
46.1873,0.78
46.241,0.12
46.4194,0.87
46.4741,3.18
46.5457,4.46
46.6,3.56
46.6827,1.56
46.7366,0.91
46.7935,0.72
46.8471,0.17
46.9555,0.53
47.0123,1.21
47.0656,2.97
47.1202,3.6
47.1741,3.14
47.2315,1.43
47.2873,0.86
47.3439,0.31
47.3975,0.11
47.5128,0.7
47.5946,1.66
47.6483,3.25
47.7639,2.14
47.8256,1.08
47.8791,0.7
47.9428,0.1
48.1124,0.83
48.1731,1.93
48.2268,3.36
48.3422,1.8
48.4037,0.89
48.4724,0.63
48.5303,0.06
48.6415,0.32
48.6951,1.08
48.7512,2.61
48.8049,3.09
48.8619,2.53
48.9157,1.34
48.9718,0.8
49.0264,0.1
49.0835,0.03
49.1989,0.54
49.2528,1.35
49.3097,3.24
49.4353,1.9
49.4896,1.02
49.5477,0.66
49.6012,0.02
49.7642,0.43
49.8176,1.21
49.8739,2.7
49.9276,3.19
49.9821,2.66
50.0358,1.32
50.0905,0.8
50.144,0.09
50.2028,0.01
50.3275,0.61
50.3813,1.75
50.4445,3.18
50.5608,1.87
50.6143,0.95
50.6764,0.56
50.7297,0.03
50.9066,1.1
50.9602,2.81
51.0222,3.25
51.0755,2.49
51.1597,1.19
51.2133,0.75
51.2684,0.0
51.4344,0.56
51.4916,1.56
51.5507,3.5
51.6107,3.58
51.6656,2.37
51.7207,1.12
51.7745,0.78
51.8334,0.02
51.949,0.24
52.0165,1.03
52.0727,2.23
52.1263,3.68
52.2405,1.98
52.2973,0.9
