"depth","time"
"-3.3","55.2462"
"-5.05","55.2999"
"-4.91","55.4191"
"-2.89","55.4816"
"-1.83","55.5615"
"-0.92","55.6187"
"-0.08","55.6727"
"-0.44","55.8646"
"-1.13","55.9193"
"-1.78","55.9794"
"-2.78","56.0328"
"-4.26","56.095"
"-5.06","56.1499"
"-4.07","56.3318"
"-2.93","56.3857"
"-1.93","56.4502"
"-0.76","56.5035"
"-0.08","56.5936"
"-0.38","56.7159"
"-0.85","56.7705"
"-1.4","56.8313"
"-2.1","56.8859"
"-3.11","56.9489"
"-4.71","57.0029"
"-5.03","57.0604"
"-5.08","57.1146"
"-4.83","57.1749"
"-3.34","57.2288"
"-2.37","57.2919"
"-1.67","57.3453"
"-0.96","57.4039"
"-0.12","57.4581"
"-0.08","57.517"
"-0.22","57.5972"
"-0.74","57.6555"
"-1.29","57.71"
"-1.91","57.7697"
"-2.61","57.8237"
"-3.47","57.8783"
"-4.91","57.9324"
"-5.08","57.9939"
"-5.12","58.0478"
"-4.7","58.1082"
"-3.61","58.162"
"-2.81","58.2247"
"-2.1","58.28"
"-1.55","58.343"
"-0.87","58.3973"
"-0.09","58.4598"
"-0.34","58.5813"
"-0.76","58.6691"
"-1.15","58.7281"
"-1.64","58.7841"
"-2.2","58.8449"
"-2.94","58.8989"
"-4.07","58.9582"
"-5.1","59.0123"
"-5.13","59.0741"
"-4.93","59.129"
"-3.95","59.1972"
"-3.23","59.2509"
"-2.59","59.3139"
"-2.07","59.3674"
"-1.49","59.4323"
"-0.86","59.4893"
"-0.12","59.5495"
"-0.08","59.6036"
"-0.26","59.6872"
"-0.63","59.7414"
"-1.07","59.8027"
"-1.49","59.8615"
"-2.04","59.9253"
