Time,Depth
6180100,7
6180120,9
6180140,13
6180160,18
6180180,23
6180200,30
6180220,38
6180240,45
6180260,48
6180280,50
6180340,45
6180360,37
6180380,28
6180400,19
6180420,12
6180440,8
6180460,6
6180480,4
6180500,3
6180600,4
6180620,6
6180660,8
6180680,10
6180700,13
6180720,18
6180740,23
6180760,31
6180780,39
6180800,45
6180820,49
6180840,50
6180880,49
6180900,43
6180920,34
6180940,25
6180960,18
6180980,12
6181000,9
6181020,6
6181060,4
6181200,5
6181220,6
6181240,8
6181260,12
6181280,16
6181300,22
6181320,29
6181340,37
6181360,45
6181380,49
6181400,50
6181440,49
6181460,44
6181480,36
6181500,27
6181520,19
6181540,13
6181560,9
6181580,6
6181600,5
6181620,4
6181760,5
6181780,6
6181800,8
6181820,11
6181840,16
6181860,22
6181880,30
6181900,38
6181920,45
6181940,48
6181960,49
6182000,48
6182020,41
6182040,32
6182060,22
6182080,15
6182100,9
6182120,6
6182140,3
6182160,2
6182300,4
6182320,6
6182360,9
6182380,13
6182400,18
6182420,24
6182440,31
6182460,40
6182480,46
6182500,50
6182520,51
6182560,50
6182580,44
6182600,36
6182620,28
6182640,21
6182660,15
6182680,10
6182700,7
6182720,6
6182740,4
6182820,6
6182860,7
6182880,9
6182900,12
6182920,16
6182940,21
6182960,29
6182980,37
6183000,45
6183020,49
6183040,50
6183060,51
6183100,46
6183120,39
6183140,30
6183160,22
6183180,15
6183200,10
6183220,6
6183240,4
6183320,3
6183400,4
6183420,5
6183440,6
6183460,7
6183480,10
6183500,14
6183520,19
6183540,26
6183560,34
6183580,42
6183600,46
6183620,47
6183680,42
6183700,34
6183720,25
6183740,17
6183760,11
6183780,7
6183800,5
6183820,3
6183960,4
6183980,6
6184020,8
6184040,11
6184060,14
6184080,18
6184100,24
6184120,31
6184140,40
6184160,46
6184180,50
6184200,51
6184260,46
6184280,40
6184300,31
6184320,23
6184340,16
6184360,11
6184380,8
6184400,6
6184540,7
6184560,9
6184580,10
6184600,13
6184620,16
6184640,20
6184660,25
6184680,31
6184700,38
6184720,44
6184740,47
6184800,46
6184820,40
6184840,33
6184860,25
6184880,18
6184900,12
6184920,9
6184940,6
6185080,5
6185100,6
6185140,8
6185160,11
6185180,14
6185200,18
6185220,23
6185240,30
6185260,38
6185280,46
6185300,50
6185320,51
6185360,49
6185380,43
6185400,35
6185420,27
6185440,19
6185460,13
6185480,9
6185500,6
6185600,5
