11080,2
11100,1
11160,2
11220,4
11240,7
11260,12
11280,18
11300,26
11320,34
11340,40
11360,42
11380,43
11460,41
11480,35
11500,25
11520,14
11540,7
11560,3
11580,1
11700,2
11740,6
11760,10
11780,15
11800,21
11820,29
11840,36
11860,41
11880,43
11920,44
11960,43
11980,41
12000,35
12020,24
12040,14
12060,7
12080,2
12100,1
12160,2
12180,3
12200,4
12220,6
12240,7
12260,11
12280,18
12300,27
12320,35
12340,42
12360,43
12380,44
12480,43
12500,41
12520,35
12540,24
12560,13
12580,6
12600,1
12620,0
12699,0
12700,1
12760,2
12780,4
12800,8
12820,13
12840,19
12860,26
12880,33
12900,39
12920,42
12940,43
12980,44
13000,43
13020,42
13040,39
13060,30
13080,18
13100,8
13120,2
13140,1
13280,3
13300,7
13320,12
13340,19
13360,28
13380,36
13400,42
13420,43
13440,44
13520,43
13540,40
13560,32
13580,20
13600,9
13620,2
13640,1
13800,3
13820,6
13840,11
13860,16
13880,24
13900,33
13920,40
13940,43
13980,44
14040,43
14060,40
14080,32
14100,18
14120,8
14140,2
14160,0
14239,0
14240,1
14280,2
14300,7
14320,14
14340,23
14360,33
14380,41
14400,43
14420,44
14520,43
14540,40
14560,32
14580,19
14600,9
14620,3
14640,1
14740,3
14760,6
14780,9
14800,15
14820,24
14840,34
14860,41
14880,43
14900,44
15040,43
15060,41
15080,35
15100,22
15120,10
15140,2
15160,0
23519,0
23520,12
23540,17
23560,21
23580,26
23600,30
23620,35
23640,39
23660,42
23680,43
23740,44
23780,43
23800,41
23820,35
23840,23
23860,14
23880,8
23900,3
23920,1
23940,0
24039,0
24040,3
24060,8
24080,14
24100,22
24120,30
24140,38
24160,42
24180,43
24280,42
24300,39
24320,30
24340,18
24360,10
24380,3
24400,1
24420,0
24499,0
24500,1
24520,6
24540,11
24560,20
24580,32
24600,42
24620,43
24660,44
24720,43
24740,41
24760,34
24780,21
24800,11
24820,3
24840,0
24959,0
24960,1
24980,6
25000,13
25020,24
25040,35
25060,42
25080,43
25160,42
25180,39
25200,29
25220,17
25240,7
25260,2
25280,0
25399,0
25400,1
25420,3
25440,9
25460,15
25480,24
25500,34
25520,41
25540,43
25660,41
25680,34
25700,20
25720,10
25740,2
25760,0
25859,0
25860,3
25880,9
25900,16
25920,25
25940,34
25960,41
25980,43
26080,42
26100,40
26120,32
26140,18
26160,8
26180,1
26200,0
26319,0
26320,1
26340,6
26360,13
26380,21
26400,31
26420,40
26440,43
26560,41
26580,34
26600,21
26620,11
26640,3
26660,0
26799,0
26800,6
26820,12
26840,21
26860,30
26880,37
26900,42
26920,43
27020,42
27040,37
27060,25
27080,13
27100,6
27120,1
27140,0
27279,0
27280,2
27300,8
27320,15
27340,24
27360,34
27380,41
27400,43
27500,42
27520,38
27540,26
27560,13
27580,4
27600,0
27719,0
27720,2
27740,8
27760,16
27780,26
27800,36
27820,42
27840,43
27960,41
27980,35
28000,21
28020,10
28040,2
28060,0
28199,0
28200,2
28220,10
28240,18
28260,28
28280,37
28300,42
28320,43
28420,41
28440,35
28460,21
28480,9
28500,1
28520,0
28659,0
28660,4
28680,10
28700,16
28720,23
28740,31
28760,38
28780,42
28820,43
28880,41
28900,35
28920,22
28940,10
28960,1
28980,0
29139,0
29140,3
29160,9
29180,16
29200,24
29220,32
29240,40
29260,42
29280,43
29340,42
29360,40
29380,32
29400,19
29420,9
29440,2
29460,0
29579,0
29580,2
29600,6
29620,14
29640,23
29660,32
29680,41
29700,43
29820,41
29840,35
29860,22
29880,11
29900,4
29920,0
30019,0
30020,1
30040,6
30060,10
30080,17
30100,26
30120,35
30140,42
30160,43
30280,41
30300,35
30320,22
30340,12
30360,4
30380,0
30539,0
30540,1
30560,6
30580,11
30600,18
30620,26
30640,35
30660,41
30680,43
30760,42
30780,39
30800,30
30820,16
30840,7
30860,1
30880,0
30999,0
31000,1
31020,7
31040,15
31060,24
31080,34
31100,41
31120,43
31220,42
31240,40
31260,31
31280,18
31300,8
31320,2
31340,0
31479,0
31480,3
31500,9
31520,16
31540,25
31560,35
31580,41
31600,43
31720,40
31740,33
31760,20
31780,10
31800,3
31820,0
31959,0
31960,1
31980,6
32000,11
32020,18
32040,26
32060,35
32080,42
32100,43
32180,42
32200,40
32220,32
32240,19
32260,9
32280,3
32300,0
32419,0
32420,2
32440,7
32460,12
32480,18
32500,25
32520,34
32540,41
32560,42
32580,43
32660,41
32680,37
32700,27
32720,15
32740,8
32760,3
32780,1
32800,0
32879,0
32880,1
32900,6
32920,10
32940,16
32960,24
32980,31
33000,38
33020,41
33040,42
33060,43
33140,42
33160,38
33180,28
33200,16
33220,7
33240,1
33260,0
33399,0
33400,2
33420,7
33440,14
33460,21
33480,29
33500,36
33520,41
33540,43
33640,41
33660,35
33680,22
33700,11
33720,2
33740,0
33879,0
33880,2
33900,7
33920,14
33940,22
33960,30
33980,37
34000,42
34020,43
34120,42
34140,39
34160,29
34180,16
34200,7
34220,1
34240,0
34339,0
34340,1
34360,6
34380,13
34400,20
34420,29
34440,37
34460,41
34480,43
34580,42
34600,38
34620,27
34640,15
34660,6
34680,0
34819,0
34820,1
34840,4
34860,11
34880,17
34900,26
34920,34
34940,41
34960,43
35060,42
35080,38
35100,29
35120,17
35140,8
35160,2
35180,0
35319,0
35320,3
35340,8
35360,13
35380,19
35400,27
35420,35
35440,41
35460,42
35480,43
35560,41
35580,37
35600,27
35620,16
35640,7
35660,1
35680,0
35799,0
35800,2
35820,6
35840,10
35860,16
35880,23
35900,32
35920,40
35940,42
35960,43
36040,42
36060,40
36080,34
36100,22
36120,11
36140,3
36160,0
36299,0
36300,2
36320,7
36340,12
36360,19
36380,27
36400,36
36420,41
36440,43
36540,42
36560,38
36580,28
36600,16
36620,7
36640,0
36779,0
36780,6
36800,11
36820,18
36840,26
36860,35
36880,41
36900,43
36940,44
37000,43
37040,40
37060,32
37080,20
37100,9
37120,2
37140,0
37279,0
37280,3
37300,9
37320,16
37340,23
37360,30
37380,37
37400,41
37420,43
37500,42
37520,41
37540,36
37560,26
37580,15
37600,6
37620,0
44899,0
44900,12
44920,16
44940,21
44960,27
44980,34
45000,40
45020,42
45040,43
45120,41
45140,36
45160,26
45180,16
45200,9
45220,4
45240,1
45320,3
45340,7
45360,12
45380,18
45400,26
45420,34
45440,41
45460,43
45560,41
45580,35
45600,25
45620,14
45640,8
45660,4
45680,1
45760,2
45780,3
45800,6
45820,10
45840,16
45860,23
45880,31
45900,40
45920,42
45940,43
46040,40
46060,34
46080,24
46100,15
46120,10
46140,6
46160,2
46180,1
46260,4
46280,8
46300,13
46320,20
46340,26
46360,33
46380,40
46400,42
46420,43
46480,42
46500,40
46520,34
46540,24
46560,14
46580,8
46600,4
46620,2
46640,1
46660,0
46699,0
46700,1
46720,4
46740,9
46760,15
46780,22
46800,29
46820,36
46840,41
46860,42
46940,40
46960,36
46980,26
47000,16
47020,8
47040,4
47060,1
47080,0
47159,0
47160,2
47180,7
47200,13
47220,20
47240,28
47260,35
47280,40
47300,42
47380,41
47400,38
47420,29
47440,17
47460,9
47480,4
47500,1
47520,0
47599,0
47600,2
47620,8
47640,15
47660,22
47680,31
47700,38
47720,42
47820,40
47840,34
47860,24
47880,14
47900,8
47920,4
47940,1
47960,0
48059,0
48060,2
48080,7
48100,12
48120,18
48140,25
48160,33
48180,40
48200,42
48220,43
48300,42
48320,39
48340,32
48360,20
48380,11
48400,6
48420,1
48440,0
48539,0
48540,4
48560,10
48580,16
48600,22
48620,28
48640,35
48660,40
48680,41
48700,42
48760,40
48780,36
48800,28
48820,17
48840,10
48860,6
48880,2
48900,1
48920,0
48959,0
48960,1
48980,2
49000,6
49020,11
49040,17
49060,23
49080,29
49100,35
49120,41
49140,42
49220,40
49240,36
49260,25
49280,16
49300,9
49320,6
49340,2
